週開始日(月),週終了日(日),累計登録医師数,WAU,WAU率(%),MAU,MAU率(%),平均DAU,DAU率(%),ヘビーユーザー数,ヘビー化率(%),週次検索ボリューム,週次ユニークユーザー数
週の月曜日,週の日曜日,医師認証済み（doctorInfo=1）または招待コード経由（みなし医師）の累計登録数,D4+で当該週に1回以上検索した医師数,WAU / 累計登録医師数。登録した医師のうち、週次でアクティブな割合,過去28日間にD4+検索を1回以上行った医師数,分子=MAU / 分母=累計登録医師数。月次で見た利用率,週内の日別D4+検索者数の平均,分子=平均DAU / 分母=累計登録医師数。日次ベースでの利用率,28日間に10回以上検索した医師。習慣的利用の指標,ヘビーユーザー / MAU,当該週の全ユーザーの総検索回数,当該週の全ユーザーのユニークユーザー数
2025-10-27,2025-11-02,260,19,7.31,41,15.77,3.57,1.37,7,17.10,60,22
2025-11-03,2025-11-09,261,14,5.36,41,15.71,2.43,0.93,5,12.20,37,14
2025-11-10,2025-11-16,291,29,9.97,53,18.21,5.43,1.87,7,13.20,220,52
2025-11-17,2025-11-23,300,31,10.33,60,20.00,6.29,2.10,7,11.70,118,39
2025-11-24,2025-11-30,307,26,8.47,66,21.50,4.57,1.49,9,13.60,131,31
2025-12-01,2025-12-07,350,54,15.43,90,25.71,10.57,3.02,12,13.30,281,93
2025-12-08,2025-12-14,358,49,13.69,101,28.21,10.71,2.99,17,16.80,202,58
2025-12-15,2025-12-21,373,37,9.92,97,26.01,7.86,2.11,19,19.60,164,49
2025-12-22,2025-12-28,525,46,8.76,108,20.57,9.14,1.74,15,13.90,401,182
2025-12-29,2026-01-04,532,21,3.95,99,18.61,4.14,0.78,13,13.10,95,34
2026-01-05,2026-01-11,546,41,7.51,94,17.22,9.29,1.70,13,13.80,180,56
2026-01-12,2026-01-18,561,37,6.60,96,17.11,9.14,1.63,13,13.50,196,55
2026-01-19,2026-01-25,567,31,5.47,81,14.29,8.00,1.41,13,16.00,129,38
2026-01-26,2026-02-01,592,35,5.91,88,14.86,7.43,1.25,14,15.90,177,49
2026-02-02,2026-02-08,618,45,7.28,90,14.56,10.43,1.69,13,14.40,222,66
2026-02-09,2026-02-15,633,49,7.74,97,15.32,9.57,1.51,12,12.40,247,70
2026-02-16,2026-02-22,667,39,5.85,98,14.69,9.00,1.35,15,15.30,327,74
2026-02-23,2026-03-01,677,56,8.27,117,17.28,13.43,1.98,18,15.40,358,67
2026-03-02,2026-03-08,691,57,8.25,125,18.09,13.29,1.92,23,18.40,265,72
2026-03-09,2026-03-15,700,51,7.29,123,17.57,11.43,1.63,23,18.70,247,69
2026-03-16,2026-03-22,712,33,4.63,116,16.29,8.71,1.22,22,19.00,253,74
2026-03-23,2026-03-29,753,53,7.04,116,15.41,11.86,1.57,22,19.00,409,91
2026-03-30,2026-04-05,793,60,7.57,123,15.51,15.29,1.93,25,20.30,395,100
2026-04-06,2026-04-12,839,81,9.65,135,16.09,22.29,2.66,34,25.20,734,133
2026-04-13,2026-04-19,880,98,11.14,171,19.43,27.57,3.13,46,26.90,788,140
2026-04-20,2026-04-26,911,94,10.32,188,20.64,30.00,3.29,59,31.40,990,140
2026-04-27,2026-05-03,941,95,10.10,192,20.40,30.14,3.20,69,35.90,748,139
2026-05-04,2026-05-10,967,88,9.10,187,19.34,21.00,2.17,72,38.50,518,115
2026-05-11,2026-05-17,984,115,11.69,191,19.41,33.14,3.37,76,39.80,884,147
2026-05-18,2026-05-24,1024,115,11.23,204,19.92,39.86,3.89,81,39.70,1075,153
2026-05-25,2026-05-31,1031,119,11.54,201,19.50,37.29,3.62,82,40.80,847,142
2026-06-01,2026-06-07,1060,107,10.09,201,18.96,30.43,2.87,88,43.80,647,141
2026-06-08,2026-06-14,1132,118,10.42,204,18.02,31.57,2.79,84,41.20,935,193
2026-06-15,2026-06-21,1144,130,11.36,226,19.76,35.71,3.12,79,35.00,829,158
2026-06-22,2026-06-28,1157,121,10.46,226,19.53,34.57,2.99,80,35.40,826,142
2026-06-25,2026-07-01,1230,121,9.84,227,18.46,33.43,2.72,92,40.50,855,148
