週開始日(月),週終了日(日),累計登録医師数,WAU,WAU率(%),MAU,MAU率(%),平均DAU,DAU率(%),ヘビーユーザー数,ヘビー化率(%),週次検索ボリューム,週次ユニークユーザー数
週の月曜日,週の日曜日,医師認証済み（doctorInfo=1）または招待コード経由（みなし医師）の累計登録数,当該週に1回以上検索した医師数,WAU / 累計登録医師数。登録した医師のうち、週次でアクティブな割合,過去28日間に検索を1回以上行った医師数,分子=MAU / 分母=累計登録医師数。月次で見た利用率,週内の日別検索者数の平均,分子=平均DAU / 分母=累計登録医師数。日次ベースでの利用率,28日間に10回以上検索した医師。習慣的利用の指標,ヘビーユーザー / MAU,当該週の全ユーザーの総検索回数,当該週の全ユーザーのユニークユーザー数
2025-10-27,2025-11-02,258,22,8.53,51,19.77,4.00,1.55,7,13.70,60,22
2025-11-03,2025-11-09,259,14,5.41,50,19.31,2.43,0.94,5,10.00,37,14
2025-11-10,2025-11-16,288,51,17.71,81,28.12,10.71,3.72,9,11.10,220,52
2025-11-17,2025-11-23,297,39,13.13,86,28.96,7.71,2.60,12,14.00,118,39
2025-11-24,2025-11-30,304,31,10.20,89,29.28,5.43,1.79,15,16.90,131,31
2025-12-01,2025-12-07,347,85,24.50,134,38.62,15.86,4.57,19,14.20,281,93
2025-12-08,2025-12-14,355,56,15.77,137,38.59,11.71,3.30,21,15.30,202,58
2025-12-15,2025-12-21,370,47,12.70,139,37.57,9.71,2.63,23,16.50,164,49
2025-12-22,2025-12-28,520,156,30.00,253,48.65,28.43,5.47,19,7.50,401,182
2025-12-29,2026-01-04,527,28,5.31,221,41.94,5.14,0.98,15,6.80,95,34
2026-01-05,2026-01-11,541,51,9.43,215,39.74,10.86,2.01,14,6.50,180,56
2026-01-12,2026-01-18,556,52,9.35,219,39.39,12.00,2.16,13,5.90,196,55
2026-01-19,2026-01-25,562,36,6.41,110,19.57,9.00,1.60,16,14.50,129,38
2026-01-26,2026-02-01,587,46,7.84,121,20.61,11.14,1.90,20,16.50,177,49
2026-02-02,2026-02-08,613,63,10.28,130,21.21,13.71,2.24,19,14.60,222,66
2026-02-09,2026-02-15,627,62,9.89,134,21.37,12.29,1.96,20,14.90,247,70
2026-02-16,2026-02-22,661,68,10.29,156,23.60,15.43,2.33,27,17.30,327,74
2026-02-23,2026-03-01,671,65,9.69,167,24.89,15.14,2.26,28,16.80,358,67
2026-03-02,2026-03-08,685,66,9.64,169,24.67,15.86,2.31,33,19.50,265,72
2026-03-09,2026-03-15,693,55,7.94,158,22.80,12.71,1.83,31,19.60,247,69
2026-03-16,2026-03-22,706,45,6.37,145,20.54,11.71,1.66,31,21.40,253,74
2026-03-23,2026-03-29,747,72,9.64,147,19.68,17.57,2.35,32,21.80,409,91
2026-03-30,2026-04-05,785,76,9.68,156,19.87,18.86,2.40,32,20.50,395,100
2026-04-06,2026-04-12,831,103,12.39,177,21.30,27.14,3.27,44,24.90,734,133
2026-04-13,2026-04-19,873,122,13.97,220,25.20,35.57,4.07,63,28.60,788,140
2026-04-20,2026-04-26,904,112,12.39,235,26.00,36.71,4.06,76,32.30,990,140
2026-04-27,2026-05-03,935,120,12.83,253,27.06,36.86,3.94,85,33.60,748,139
2026-05-04,2026-05-10,963,105,10.90,240,24.92,24.43,2.54,87,36.20,518,115
2026-05-11,2026-05-17,979,126,12.87,230,23.49,36.43,3.72,86,37.40,884,147
2026-05-18,2026-05-24,1019,133,13.05,248,24.34,45.86,4.50,92,37.10,1075,153
2026-05-25,2026-05-31,1026,124,12.09,235,22.90,38.29,3.73,88,37.40,847,142
2026-06-01,2026-06-07,1057,126,11.92,242,22.89,33.57,3.18,94,38.80,647,141
2026-06-08,2026-06-14,1131,164,14.50,274,24.23,40.71,3.60,94,34.30,935,193
2026-06-15,2026-06-21,1145,144,12.58,278,24.28,40.00,3.49,86,30.90,829,158
2026-06-22,2026-06-28,1160,131,11.29,281,24.22,36.86,3.18,88,31.30,826,142
2026-06-29,2026-07-05,1247,147,11.79,289,23.18,43.00,3.45,99,34.30,909,164
2026-07-06,2026-07-12,1263,168,13.30,297,23.52,46.57,3.69,100,33.70,957,182
2026-07-13,2026-07-19,1272,138,10.85,291,22.88,40.14,3.16,97,33.30,879,148
2026-07-20,2026-07-26,1284,134,10.44,282,21.96,34.57,2.69,103,36.50,688,144
2026-07-27,2026-08-02,1300,146,11.23,286,22.00,41.57,3.20,93,32.50,792,159
2026-08-03,2026-08-09,1309,142,10.85,272,20.78,37.00,2.83,85,31.20,805,151
2026-08-10,2026-08-16,1337,137,10.25,283,21.17,33.57,2.51,82,29.00,795,151
2026-08-17,2026-08-23,1351,155,11.47,298,22.06,43.29,3.20,85,28.50,818,171
2026-08-24,2026-08-30,1360,126,9.26,280,20.59,35.57,2.62,82,29.30,675,147
2026-08-31,2026-09-06,1372,158,11.52,276,20.12,41.14,3.00,84,30.40,890,171
2026-09-07,2026-09-13,1378,135,9.80,267,19.38,38.86,2.82,95,35.60,966,151
2026-09-08,2026-09-14,1381,136,9.85,264,19.12,38.71,2.80,94,35.60,972,151
