週開始日(月),週終了日(日),累計登録医師数,WAU,WAU率(%),MAU,MAU率(%),平均DAU,DAU率(%),ヘビーユーザー数,ヘビー化率(%),週次利用イベント数,週次ユニークユーザー数
週の月曜日,週の日曜日,医師認証済み（doctorInfo=1）または招待コード経由（みなし医師）の累計登録数,当該週に1回以上ログインまたは検索した医師数,WAU / 累計登録医師数。登録した医師のうち、週次でアクティブな割合,過去28日間に1回以上ログインまたは検索した医師数,分子=MAU / 分母=累計登録医師数。月次で見た利用率,週内の日別利用者数の平均,分子=平均DAU / 分母=累計登録医師数。日次ベースでの利用率,28日間に10回以上の利用イベント（ログイン+検索）があった医師（参考）,ヘビーユーザー / MAU,当該週の全ユーザーの総利用イベント数（ログイン+検索）,当該週の全ユーザーのユニークユーザー数
2025-10-27,2025-11-02,260,27,10.38,59,22.69,5.86,2.25,25,42.40,176,31
2025-11-03,2025-11-09,261,15,5.75,58,22.22,2.86,1.09,18,31.00,78,15
2025-11-10,2025-11-16,291,61,20.96,95,32.65,13.43,4.61,41,43.20,500,64
2025-11-17,2025-11-23,300,46,15.33,102,34.00,9.43,3.14,46,45.10,275,50
2025-11-24,2025-11-30,307,38,12.38,104,33.88,7.29,2.37,48,46.20,284,41
2025-12-01,2025-12-07,350,108,30.86,165,47.14,21.43,6.12,64,38.80,751,125
2025-12-08,2025-12-14,358,66,18.44,164,45.81,14.43,4.03,58,35.40,485,76
2025-12-15,2025-12-21,373,55,14.75,170,45.58,12.29,3.29,57,33.50,386,63
2025-12-22,2025-12-28,525,197,37.52,321,61.14,41.29,7.86,79,24.60,1262,254
2025-12-29,2026-01-04,532,38,7.14,273,51.32,7.29,1.37,64,23.40,239,56
2026-01-05,2026-01-11,546,63,11.54,269,49.27,14.29,2.62,64,23.80,474,78
2026-01-12,2026-01-18,561,62,11.05,268,47.77,15.86,2.83,68,25.40,544,93
2026-01-19,2026-01-25,567,45,7.94,133,23.46,11.43,2.02,44,33.10,347,63
2026-01-26,2026-02-01,592,61,10.30,149,25.17,15.00,2.53,48,32.20,460,79
2026-02-02,2026-02-08,618,80,12.94,165,26.70,18.71,3.03,54,32.70,605,107
2026-02-09,2026-02-15,633,72,11.37,168,26.54,16.29,2.57,59,35.10,584,103
2026-02-16,2026-02-22,667,90,13.49,196,29.39,21.29,3.19,76,38.80,798,128
2026-02-23,2026-03-01,677,94,13.88,212,31.31,21.57,3.19,79,37.30,864,127
2026-03-02,2026-03-08,691,86,12.45,214,30.97,22.43,3.25,82,38.30,707,124
2026-03-09,2026-03-15,700,71,10.14,208,29.71,16.86,2.41,77,37.00,660,120
2026-03-16,2026-03-22,713,61,8.56,189,26.51,16.14,2.26,62,32.80,669,122
2026-03-23,2026-03-29,754,103,13.66,197,26.13,26.14,3.47,70,35.50,989,145
2026-03-30,2026-04-05,794,113,14.23,223,28.09,27.14,3.42,64,28.70,1004,178
2026-04-06,2026-04-12,840,145,17.26,260,30.95,38.29,4.56,83,31.90,1630,202
2026-04-13,2026-04-19,882,155,17.57,307,34.81,45.57,5.17,113,36.80,1735,183
2026-04-20,2026-04-26,913,134,14.68,319,34.94,45.00,4.93,137,42.90,2113,184
2026-04-27,2026-05-03,943,145,15.38,327,34.68,45.00,4.77,148,45.30,1686,187
2026-05-04,2026-05-10,971,135,13.90,304,31.31,33.00,3.40,147,48.40,1231,167
2026-05-11,2026-05-17,988,150,15.18,280,28.34,45.43,4.60,147,52.50,1914,182
2026-05-18,2026-05-24,1028,169,16.44,312,30.35,58.71,5.71,150,48.10,2297,209
2026-05-25,2026-05-31,1035,157,15.17,305,29.47,48.00,4.64,153,50.20,1823,189
2026-06-01,2026-06-07,1066,159,14.92,317,29.74,43.57,4.09,148,46.70,1442,187
2026-06-08,2026-06-14,1140,216,18.95,376,32.98,56.14,4.92,156,41.50,2148,272
2026-06-15,2026-06-21,1153,163,14.14,362,31.40,49.71,4.31,155,42.80,1846,204
2026-06-22,2026-06-28,1168,172,14.73,357,30.57,47.00,4.02,151,42.30,1696,207
2026-06-29,2026-07-05,1255,171,13.63,358,28.53,50.14,4.00,158,44.10,1855,199
2026-07-06,2026-07-12,1271,202,15.89,357,28.09,57.29,4.51,167,46.80,2048,235
2026-07-13,2026-07-19,1279,161,12.59,354,27.68,47.14,3.69,157,44.40,1782,180
2026-07-20,2026-07-26,1291,160,12.39,338,26.18,42.14,3.26,154,45.60,1502,183
2026-07-25,2026-07-31,1296,165,12.73,336,25.93,48.86,3.77,155,46.10,1714,189
